parse
Loading weights:   0%|          | 0/770 [00:00<?, ?it/s]Loading weights: 100%|██████████| 770/770 [00:00<00:00, 28336.16it/s]
2026-09-06 22:42:25,832 MatchingPostProcessor WARNING  Orphan pdf_cell 25 recovered to row=5 by nearest-row fallback (col=0, y=294.7, dist=22.0)
2026-09-06 22:42:25,833 MatchingPostProcessor WARNING  Orphan pdf_cell 26 recovered to row=5 by nearest-row fallback (col=0, y=294.7, dist=22.0)
2026-09-06 22:42:25,833 MatchingPostProcessor WARNING  Orphan pdf_cell 27 recovered to row=5 by nearest-row fallback (col=0, y=294.7, dist=22.0)
2026-09-06 22:42:25,833 MatchingPostProcessor WARNING  Orphan pdf_cell 28 recovered to row=5 by nearest-row fallback (col=0, y=294.7, dist=22.0)
2026-09-06 22:42:25,833 MatchingPostProcessor WARNING  Orphan pdf_cell 29 recovered to row=5 by nearest-row fallback (col=1, y=294.7, dist=22.0)
2026-09-06 22:42:25,833 MatchingPostProcessor WARNING  Orphan pdf_cell 118 recovered to row=23 by nearest-row fallback (col=0, y=820.7, dist=22.0)
2026-09-06 22:42:25,833 MatchingPostProcessor WARNING  Orphan pdf_cell 119 recovered to row=23 by nearest-row fallback (col=0, y=820.7, dist=22.0)
2026-09-06 22:42:25,833 MatchingPostProcessor WARNING  Orphan pdf_cell 120 recovered to row=23 by nearest-row fallback (col=0, y=820.7, dist=22.0)
2026-09-06 22:42:25,833 MatchingPostProcessor WARNING  Orphan pdf_cell 121 recovered to row=23 by nearest-row fallback (col=1, y=820.7, dist=22.0)
2026-09-06 22:42:25,833 MatchingPostProcessor WARNING  Orphan pdf_cell 160 recovered to row=33 by nearest-row fallback (col=0, y=1089.9, dist=71.2)
2026-09-06 22:42:25,833 MatchingPostProcessor WARNING  Orphan pdf_cell 161 recovered to row=33 by nearest-row fallback (col=1, y=1089.9, dist=71.2)
2026-09-06 22:42:26,284 MatchingPostProcessor WARNING  Orphan pdf_cell 16 recovered to row=0 by nearest-row fallback (col=0, y=186.2, dist=31.5)
2026-09-06 22:42:28,900 MatchingPostProcessor WARNING  Orphan pdf_cell 51 recovered to row=1 by nearest-row fallback (col=0, y=255.2, dist=21.0)
2026-09-06 22:42:28,900 MatchingPostProcessor WARNING  Orphan pdf_cell 52 recovered to row=1 by nearest-row fallback (col=1, y=255.2, dist=21.0)
2026-09-06 22:42:28,900 MatchingPostProcessor WARNING  Orphan pdf_cell 53 recovered to row=1 by nearest-row fallback (col=2, y=255.2, dist=21.0)
2026-09-06 22:42:28,900 MatchingPostProcessor WARNING  Orphan pdf_cell 54 recovered to row=1 by nearest-row fallback (col=2, y=255.2, dist=21.0)
2026-09-06 22:42:28,900 MatchingPostProcessor WARNING  Orphan pdf_cell 55 recovered to row=1 by nearest-row fallback (col=3, y=255.2, dist=21.0)
2026-09-06 22:42:28,900 MatchingPostProcessor WARNING  Orphan pdf_cell 56 recovered to row=1 by nearest-row fallback (col=3, y=255.2, dist=21.0)
2026-09-06 22:42:28,900 MatchingPostProcessor WARNING  Orphan pdf_cell 117 recovered to row=7 by nearest-row fallback (col=0, y=423.2, dist=21.0)
2026-09-06 22:42:28,900 MatchingPostProcessor WARNING  Orphan pdf_cell 118 recovered to row=7 by nearest-row fallback (col=0, y=423.2, dist=21.0)
2026-09-06 22:42:28,900 MatchingPostProcessor WARNING  Orphan pdf_cell 119 recovered to row=7 by nearest-row fallback (col=1, y=423.2, dist=21.0)
2026-09-06 22:42:43,745 MatchingPostProcessor WARNING  Orphan pdf_cell 128 recovered to row=0 by nearest-row fallback (col=0, y=1030.7, dist=514.5)
2026-09-06 22:42:43,745 MatchingPostProcessor WARNING  Orphan pdf_cell 129 recovered to row=0 by nearest-row fallback (col=0, y=1030.7, dist=514.5)
2026-09-06 22:42:43,745 MatchingPostProcessor WARNING  Orphan pdf_cell 130 recovered to row=0 by nearest-row fallback (col=0, y=1030.7, dist=514.5)
2026-09-06 22:42:43,745 MatchingPostProcessor WARNING  Orphan pdf_cell 131 recovered to row=0 by nearest-row fallback (col=0, y=1030.7, dist=514.5)
2026-09-06 22:42:43,745 MatchingPostProcessor WARNING  Orphan pdf_cell 132 recovered to row=0 by nearest-row fallback (col=0, y=1051.7, dist=535.5)
2026-09-06 22:42:43,745 MatchingPostProcessor WARNING  Orphan pdf_cell 133 recovered to row=0 by nearest-row fallback (col=0, y=1051.7, dist=535.5)
2026-09-06 22:42:43,746 MatchingPostProcessor WARNING  Orphan pdf_cell 134 recovered to row=0 by nearest-row fallback (col=0, y=1072.7, dist=556.5)
2026-09-06 22:42:43,746 MatchingPostProcessor WARNING  Orphan pdf_cell 135 recovered to row=0 by nearest-row fallback (col=0, y=1072.7, dist=556.5)
2026-09-06 22:42:43,746 MatchingPostProcessor WARNING  Orphan pdf_cell 136 recovered to row=0 by nearest-row fallback (col=0, y=1072.7, dist=556.5)
2026-09-06 22:42:43,746 MatchingPostProcessor WARNING  Orphan pdf_cell 137 recovered to row=0 by nearest-row fallback (col=0, y=1093.7, dist=577.5)
2026-09-06 22:42:43,746 MatchingPostProcessor WARNING  Orphan pdf_cell 138 recovered to row=0 by nearest-row fallback (col=0, y=1093.7, dist=577.5)
2026-09-06 22:42:43,746 MatchingPostProcessor WARNING  Orphan pdf_cell 139 recovered to row=0 by nearest-row fallback (col=0, y=1114.7, dist=598.5)
2026-09-06 22:42:43,746 MatchingPostProcessor WARNING  Orphan pdf_cell 140 recovered to row=0 by nearest-row fallback (col=0, y=1114.7, dist=598.5)
2026-09-06 22:42:43,746 MatchingPostProcessor WARNING  Orphan pdf_cell 141 recovered to row=0 by nearest-row fallback (col=0, y=1114.7, dist=598.5)
2026-09-06 22:42:43,746 MatchingPostProcessor WARNING  Orphan pdf_cell 142 recovered to row=0 by nearest-row fallback (col=0, y=1114.7, dist=598.5)
2026-09-06 22:42:43,746 MatchingPostProcessor WARNING  Orphan pdf_cell 143 recovered to row=0 by nearest-row fallback (col=0, y=1135.7, dist=619.5)
2026-09-06 22:42:43,746 MatchingPostProcessor WARNING  Orphan pdf_cell 144 recovered to row=0 by nearest-row fallback (col=0, y=1135.7, dist=619.5)
2026-09-06 22:42:43,746 MatchingPostProcessor WARNING  Orphan pdf_cell 145 recovered to row=0 by nearest-row fallback (col=0, y=1135.7, dist=619.5)
2026-09-06 22:42:43,746 MatchingPostProcessor WARNING  Orphan pdf_cell 146 recovered to row=0 by nearest-row fallback (col=0, y=1135.7, dist=619.5)
2026-09-06 22:42:43,746 MatchingPostProcessor WARNING  Orphan pdf_cell 147 recovered to row=0 by nearest-row fallback (col=0, y=1156.7, dist=640.5)
2026-09-06 22:42:43,746 MatchingPostProcessor WARNING  Orphan pdf_cell 148 recovered to row=0 by nearest-row fallback (col=0, y=1156.7, dist=640.5)
2026-09-06 22:42:43,746 MatchingPostProcessor WARNING  Orphan pdf_cell 149 recovered to row=0 by nearest-row fallback (col=0, y=1156.7, dist=640.5)
2026-09-06 22:42:43,746 MatchingPostProcessor WARNING  Orphan pdf_cell 150 recovered to row=0 by nearest-row fallback (col=0, y=1177.7, dist=661.5)
2026-09-06 22:42:43,747 MatchingPostProcessor WARNING  Orphan pdf_cell 151 recovered to row=0 by nearest-row fallback (col=0, y=1177.7, dist=661.5)
2026-09-06 22:42:43,747 MatchingPostProcessor WARNING  Orphan pdf_cell 152 recovered to row=0 by nearest-row fallback (col=0, y=1177.7, dist=661.5)
2026-09-06 22:42:43,747 MatchingPostProcessor WARNING  Orphan pdf_cell 153 recovered to row=0 by nearest-row fallback (col=0, y=1177.7, dist=661.5)
2026-09-06 22:42:43,747 MatchingPostProcessor WARNING  Orphan pdf_cell 154 recovered to row=0 by nearest-row fallback (col=0, y=1177.7, dist=661.5)
2026-09-06 22:42:43,747 MatchingPostProcessor WARNING  Orphan pdf_cell 155 recovered to row=0 by nearest-row fallback (col=0, y=1198.7, dist=682.5)
2026-09-06 22:42:43,747 MatchingPostProcessor WARNING  Orphan pdf_cell 156 recovered to row=0 by nearest-row fallback (col=0, y=1198.7, dist=682.5)
2026-09-06 22:42:43,747 MatchingPostProcessor WARNING  Orphan pdf_cell 157 recovered to row=0 by nearest-row fallback (col=0, y=1198.7, dist=682.5)
2026-09-06 22:42:43,747 MatchingPostProcessor WARNING  Orphan pdf_cell 158 recovered to row=0 by nearest-row fallback (col=0, y=1198.7, dist=682.5)
2026-09-06 22:42:43,747 MatchingPostProcessor WARNING  Orphan pdf_cell 284 recovered to row=0 by nearest-row fallback (col=1, y=1021.7, dist=505.5)
2026-09-06 22:42:43,747 MatchingPostProcessor WARNING  Orphan pdf_cell 285 recovered to row=0 by nearest-row fallback (col=1, y=1021.7, dist=505.5)
2026-09-06 22:42:43,747 MatchingPostProcessor WARNING  Orphan pdf_cell 286 recovered to row=0 by nearest-row fallback (col=1, y=1021.7, dist=505.5)
2026-09-06 22:42:43,747 MatchingPostProcessor WARNING  Orphan pdf_cell 287 recovered to row=0 by nearest-row fallback (col=1, y=1021.7, dist=505.5)
2026-09-06 22:42:43,747 MatchingPostProcessor WARNING  Orphan pdf_cell 288 recovered to row=0 by nearest-row fallback (col=1, y=1021.7, dist=505.5)
2026-09-06 22:42:43,747 MatchingPostProcessor WARNING  Orphan pdf_cell 289 recovered to row=0 by nearest-row fallback (col=1, y=1042.7, dist=526.5)
2026-09-06 22:42:43,747 MatchingPostProcessor WARNING  Orphan pdf_cell 290 recovered to row=0 by nearest-row fallback (col=1, y=1042.7, dist=526.5)
2026-09-06 22:42:43,747 MatchingPostProcessor WARNING  Orphan pdf_cell 291 recovered to row=0 by nearest-row fallback (col=1, y=1042.7, dist=526.5)
2026-09-06 22:42:43,747 MatchingPostProcessor WARNING  Orphan pdf_cell 292 recovered to row=0 by nearest-row fallback (col=1, y=1042.7, dist=526.5)
2026-09-06 22:42:43,747 MatchingPostProcessor WARNING  Orphan pdf_cell 293 recovered to row=0 by nearest-row fallback (col=1, y=1042.7, dist=526.5)
2026-09-06 22:42:43,748 MatchingPostProcessor WARNING  Orphan pdf_cell 294 recovered to row=0 by nearest-row fallback (col=1, y=1063.7, dist=547.5)
2026-09-06 22:42:43,748 MatchingPostProcessor WARNING  Orphan pdf_cell 295 recovered to row=0 by nearest-row fallback (col=1, y=1063.7, dist=547.5)
2026-09-06 22:42:43,748 MatchingPostProcessor WARNING  Orphan pdf_cell 296 recovered to row=0 by nearest-row fallback (col=1, y=1063.7, dist=547.5)
2026-09-06 22:42:43,748 MatchingPostProcessor WARNING  Orphan pdf_cell 297 recovered to row=0 by nearest-row fallback (col=1, y=1063.7, dist=547.5)
2026-09-06 22:42:43,748 MatchingPostProcessor WARNING  Orphan pdf_cell 298 recovered to row=0 by nearest-row fallback (col=1, y=1084.7, dist=568.5)
2026-09-06 22:42:43,748 MatchingPostProcessor WARNING  Orphan pdf_cell 299 recovered to row=0 by nearest-row fallback (col=1, y=1084.7, dist=568.5)
2026-09-06 22:42:43,748 MatchingPostProcessor WARNING  Orphan pdf_cell 300 recovered to row=0 by nearest-row fallback (col=1, y=1084.7, dist=568.5)
2026-09-06 22:42:43,748 MatchingPostProcessor WARNING  Orphan pdf_cell 301 recovered to row=0 by nearest-row fallback (col=1, y=1084.7, dist=568.5)
2026-09-06 22:42:43,748 MatchingPostProcessor WARNING  Orphan pdf_cell 302 recovered to row=0 by nearest-row fallback (col=1, y=1105.7, dist=589.5)
2026-09-06 22:42:43,748 MatchingPostProcessor WARNING  Orphan pdf_cell 303 recovered to row=0 by nearest-row fallback (col=1, y=1105.7, dist=589.5)
2026-09-06 22:42:43,748 MatchingPostProcessor WARNING  Orphan pdf_cell 304 recovered to row=0 by nearest-row fallback (col=1, y=1126.7, dist=610.5)
2026-09-06 22:42:43,748 MatchingPostProcessor WARNING  Orphan pdf_cell 305 recovered to row=0 by nearest-row fallback (col=1, y=1126.7, dist=610.5)
2026-09-06 22:42:43,748 MatchingPostProcessor WARNING  Orphan pdf_cell 306 recovered to row=0 by nearest-row fallback (col=1, y=1147.7, dist=631.5)
2026-09-06 22:42:43,748 MatchingPostProcessor WARNING  Orphan pdf_cell 307 recovered to row=0 by nearest-row fallback (col=1, y=1147.7, dist=631.5)
2026-09-06 22:42:43,748 MatchingPostProcessor WARNING  Orphan pdf_cell 308 recovered to row=0 by nearest-row fallback (col=1, y=1147.7, dist=631.5)
2026-09-06 22:42:43,748 MatchingPostProcessor WARNING  Orphan pdf_cell 309 recovered to row=0 by nearest-row fallback (col=1, y=1168.7, dist=652.5)
2026-09-06 22:42:43,748 MatchingPostProcessor WARNING  Orphan pdf_cell 310 recovered to row=0 by nearest-row fallback (col=1, y=1189.7, dist=673.5)
2026-09-06 22:42:43,748 MatchingPostProcessor WARNING  Orphan pdf_cell 311 recovered to row=0 by nearest-row fallback (col=1, y=1189.7, dist=673.5)
2026-09-06 22:42:51,065 MatchingPostProcessor WARNING  Orphan pdf_cell 143 recovered to row=1 by nearest-row fallback (col=0, y=1168.7, dist=546.0)
2026-09-06 22:42:51,065 MatchingPostProcessor WARNING  Orphan pdf_cell 144 recovered to row=1 by nearest-row fallback (col=0, y=1168.7, dist=546.0)
2026-09-06 22:42:51,186 MatchingPostProcessor WARNING  Orphan pdf_cell 160 recovered to row=0 by nearest-row fallback (col=0, y=1140.9, dist=557.7)
2026-09-06 22:42:51,186 MatchingPostProcessor WARNING  Orphan pdf_cell 161 recovered to row=0 by nearest-row fallback (col=0, y=1140.9, dist=557.7)
2026-09-06 22:42:51,186 MatchingPostProcessor WARNING  Orphan pdf_cell 162 recovered to row=0 by nearest-row fallback (col=0, y=1140.9, dist=557.7)
2026-09-06 22:42:51,187 MatchingPostProcessor WARNING  Orphan pdf_cell 163 recovered to row=0 by nearest-row fallback (col=0, y=1161.9, dist=578.7)
2026-09-06 22:42:51,187 MatchingPostProcessor WARNING  Orphan pdf_cell 164 recovered to row=0 by nearest-row fallback (col=0, y=1161.9, dist=578.7)
2026-09-06 22:42:51,187 MatchingPostProcessor WARNING  Orphan pdf_cell 165 recovered to row=0 by nearest-row fallback (col=0, y=1162.0, dist=578.7)
2026-09-06 22:42:51,187 MatchingPostProcessor WARNING  Orphan pdf_cell 302 recovered to row=0 by nearest-row fallback (col=1, y=1153.9, dist=570.7)
2026-09-06 22:42:51,187 MatchingPostProcessor WARNING  Orphan pdf_cell 303 recovered to row=0 by nearest-row fallback (col=1, y=1153.9, dist=570.7)
2026-09-06 22:42:51,317 MatchingPostProcessor WARNING  Orphan pdf_cell 146 recovered to row=0 by nearest-row fallback (col=0, y=967.2, dist=466.9)
2026-09-06 22:42:51,318 MatchingPostProcessor WARNING  Orphan pdf_cell 147 recovered to row=0 by nearest-row fallback (col=0, y=967.2, dist=466.9)
2026-09-06 22:42:51,318 MatchingPostProcessor WARNING  Orphan pdf_cell 148 recovered to row=0 by nearest-row fallback (col=0, y=987.7, dist=487.4)
2026-09-06 22:42:51,318 MatchingPostProcessor WARNING  Orphan pdf_cell 149 recovered to row=0 by nearest-row fallback (col=0, y=987.7, dist=487.4)
2026-09-06 22:42:51,318 MatchingPostProcessor WARNING  Orphan pdf_cell 150 recovered to row=0 by nearest-row fallback (col=0, y=987.7, dist=487.4)
2026-09-06 22:42:51,318 MatchingPostProcessor WARNING  Orphan pdf_cell 151 recovered to row=0 by nearest-row fallback (col=0, y=1008.2, dist=507.9)
2026-09-06 22:42:51,318 MatchingPostProcessor WARNING  Orphan pdf_cell 152 recovered to row=0 by nearest-row fallback (col=0, y=1008.2, dist=507.9)
2026-09-06 22:42:51,318 MatchingPostProcessor WARNING  Orphan pdf_cell 153 recovered to row=0 by nearest-row fallback (col=0, y=1008.2, dist=507.9)
2026-09-06 22:42:51,318 MatchingPostProcessor WARNING  Orphan pdf_cell 154 recovered to row=0 by nearest-row fallback (col=0, y=1008.2, dist=507.9)
2026-09-06 22:42:51,318 MatchingPostProcessor WARNING  Orphan pdf_cell 155 recovered to row=0 by nearest-row fallback (col=0, y=1028.7, dist=528.4)
