                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
"FY2003 Data Effective - 29-JUN-04 Organization","Grant Number","PI Name","Project Title","NIH Department Combining Name","NIH Major Component Combining Name","Award","City","State","Zip Code","  "                                                                                                                                                                                                                                                                                                               
"ADVANCED BREATH DIAGNOSTICS, LLC","2R44DK060054-02A1","Konopka, Stanley J","Improved Outcome Prediction In Galactosemic Newborns","","","$ 380,956","BRENTWOOD","TENNESSEE","37027","  "                                                                                                                                                                                                                                                                                                                           
"ARTHROCHIP, LLC","1R41AI053984-01","Aune, Thomas M","Gene Expression and Diagnosis of Autoimmune Disease","","","$ 133,756","FRANKLIN","TENNESSEE","37069","  "                                                                                                                                                                                                                                                                                                                                                    
"ARTHROCHIP, LLC","1R41DK065388-01","Olsen, Nancy J","Gene Expression and Diagnosis of Diabetes","","","$ 119,957","FRANKLIN","TENNESSEE","37069","  "                                                                                                                                                                                                                                                                                                                                                              
"ATMOSPHERIC GLOW TECHNOLOGIES, LLC","2R44DE013892-02A1","Kellywintenberg, Kimberly K","Eradicating Biofilms with Atmospheric Glow Plasma","","","$ 402,175","KNOXVILLE","TENNESSEE","37922","  "                                                                                                                                                                                                                                                                                                                   
"ATOM SCIENCES, INC.","2R44AI049596-02A1","Whitaker, Tom J","Inexpensive Genetic Detection of Infectious Organisms","","","$ 398,363","OAK RIDGE","TENNESSEE","37830-8810","  "                                                                                                                                                                                                                                                                                                                                     
"ATOM SCIENCES, INC.","2R44HG002404-02","Hurt, Richard A","SNP Detection with Unlabeled, Unamplified Target DNA","","","$ 376,732","OAK RIDGE","TENNESSEE","37830-8810","  "                                                                                                                                                                                                                                                                                                                                        
"CELTEK BIOSCIENCE, LLC","1R43CA099340-01","Lin, Yaozhong ","Enhancement of Cancer Therapy by Inhibiting NF-kB","","","$ 207,562","NASHVILLE","TENNESSEE","37210","  "                                                                                                                                                                                                                                                                                                                                              
"CHRISTIAN BROTHERS UNIVERSITY","3T37TW000123-03S1","Fitzgerald, Malinda E","MID-SOUTH COALITION FOR MINORITY INTERNATIONAL RESEARCH","BIOLOGY","SCHOOLS OF ARTS AND SCIENCES","$ 75,000","MEMPHIS","TENNESSEE","38104","  "                                                                                                                                                                                                                                                                                        
"EAST TENNESSEE STATE UNIVERSITY","1K22AI053645-01","Trent, Michael S","Modification of Helicobacter pylori Lipid A","MICROBIOLOGY/IMMUN/VIROLOGY","SCHOOLS OF MEDICINE","$ 159,694","JOHNSON CITY","TENNESSEE","37601","  "                                                                                                                                                                                                                                                                                        
"EAST TENNESSEE STATE UNIVERSITY","1R01HL071837-01A1","Li, Chuanfu ","Role of Toll-Like Receptor Signaling in Cardiac Ischemia","SURGERY","SCHOOLS OF MEDICINE","$ 271,502","JOHNSON CITY","TENNESSEE","37601","  "                                                                                                                                                                                                                                                                                                 
"EAST TENNESSEE STATE UNIVERSITY","1R15EY014559-01","Defoe, Dennis M","p27Kip1 and RPE Cell Cycle","ANATOMY/CELL BIOLOGY","SCHOOLS OF MEDICINE","$ 120,948","JOHNSON CITY","TENNESSEE","37601","  "                                                                                                                                                                                                                                                                                                                 
"EAST TENNESSEE STATE UNIVERSITY","1R15HD043865-01","Dixon, Wallace E","Temperament, Distraction, and Early Vocabulary","PSYCHOLOGY","SCHOOLS OF ARTS AND SCIENCES","$ 146,000","JOHNSON CITY","TENNESSEE","37601","  "                                                                                                                                                                                                                                                                                             
"EAST TENNESSEE STATE UNIVERSITY","1R21AI055267-01","Hayman, James R","Encephalitozoon intestinalis Spore Adherence to Host","MICROBIOLOGY/IMMUN/VIROLOGY","SCHOOLS OF MEDICINE","$ 150,148","JOHNSON CITY","TENNESSEE","37601","  "                                                                                                                                                                                                                                                                                
"EAST TENNESSEE STATE UNIVERSITY","2R21AI040915-06","Raulston, Jane E","CHLAMYDIA TRACHOMATIS ENVELOPE COMPONENTS AND VIRULENCE","PATHOLOGY","SCHOOLS OF MEDICINE","$ 287,400","JOHNSON CITY","TENNESSEE","37601","  "                                                                                                                                                                                                                                                                                              
"EAST TENNESSEE STATE UNIVERSITY","2R37NS018710-19","Dun, Nae ","Activity of Preganglionic Neurons in Vitro","PHARMACOLOGY","SCHOOLS OF MEDICINE","$ 288,932","JOHNSON CITY","TENNESSEE","37601","  "                                                                                                                                                                                                                                                                                                               
"EAST TENNESSEE STATE UNIVERSITY","5R01AI013446-24","Wyrick, Priscilla B","VIRULENCE FACTORS OF CHLAMYDIAE","MICROBIOLOGY/IMMUN/VIROLOGY","SCHOOLS OF MEDICINE","$ 317,798","JOHNSON CITY","TENNESSEE","37601","  "                                                                                                                                                                                                                                                                                                 
"EAST TENNESSEE STATE UNIVERSITY","5R01CA086927-04","Zou, Yue ","RECOGNITION AND REPAIR OF UV DAMAGE TO HUMAN DNA","BIOCHEMISTRY","SCHOOLS OF MEDICINE","$ 249,000","JOHNSON CITY","TENNESSEE","37601","  "                                                                                                                                                                                                                                                                                                         
"EAST TENNESSEE STATE UNIVERSITY","5R01DK058071-03","Thewke, Douglas P","Regulation of stearoyl-CoA desaturases by oleate","BIOCHEMISTRY","SCHOOLS OF MEDICINE","$ 173,242","JOHNSON CITY","TENNESSEE","37601","  "                                                                                                                                                                                                                                                                                                 
"EAST TENNESSEE STATE UNIVERSITY","5R01GM053522-07","Williams, David L","AMELIORATION OF SEPSIS BY MACROPHAGE ACTIVATION","SURGERY","SCHOOLS OF MEDICINE","$ 253,865","JOHNSON CITY","TENNESSEE","37601","  "                                                                                                                                                                                                                                                                                                       
