YY,JD,TM,Rn,LE,H,G_1,G_2,PAR,Air T,Soil T1_0,Soil T1_5,Soil T1_10,Soil T2_0,Soil T2_5,Soil T2_10,RH,Rain,WD,WS,u*,FCO2,FH2O
,,(AST),(W m-2),(W m-2),(W m-2),(W m-2),(W m-2),(microE m-2 s-1),(C),(C),(C),(C),(C),(C),(C),(%),(mm),(d),(m s-1),(m s-1),(gC m-2 hr-1),(mg m-2 s-1)
2002,139,0,-99.99,0.13,-3.97,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,52,4.49,0.18,-0.02,0.05
2002,139,30,-99.99,-0.31,-4.94,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,49,4.57,0.17,-0.02,-0.12
2002,139,100,-99.99,-1,-6.18,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,55,4.49,0.18,-0.02,-0.4
2002,139,130,-99.99,-1.08,-5.07,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,61,3.73,0.12,-0.01,-0.43
2002,139,200,-99.99,-1.63,-6.55,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,60,4.05,0.15,-0.02,-0.65
2002,139,230,-99.99,-1.4,-5.33,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,55,4.36,0.16,-0.02,-0.56
2002,139,300,-99.99,-1.46,-6.03,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,57,4.4,0.16,-0.02,-0.58
2002,139,330,-99.99,-1.52,-6.74,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,59,4.43,0.17,-0.02,-0.61
2002,139,400,-99.99,-1.87,-7.76,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,59,4.51,0.17,-0.02,-0.74
2002,139,430,-99.99,-2.78,-11.72,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,62,4.72,0.17,-0.02,-1.11
2002,139,500,-99.99,-2.34,-9.61,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,61,4.79,0.17,-0.02,-0.93
2002,139,530,-99.99,-1.99,-8.94,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,61,5.32,0.21,-0.02,-0.79
2002,139,600,-99.99,-2.01,-9.88,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,67,5.75,0.23,-0.01,-0.8
2002,139,630,-99.99,-0.85,-5.01,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,67,5.48,0.21,-0.01,-0.34
2002,139,700,-99.99,1.96,2.61,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,72,5.89,0.25,-0.01,0.78
2002,139,730,-99.99,1.82,3.14,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,79,6.19,0.25,-0.01,0.72
2002,139,800,-99.99,2.94,4.66,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,82,6.66,0.28,-0.01,1.17
2002,139,830,-99.99,2.21,3.71,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,79,6.71,0.27,-0.01,0.88
2002,139,900,-99.99,3.48,7.54,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,78,6.98,0.29,-0.01,1.38
2002,139,930,-99.99,2.73,6.43,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,77.5,7.34,0.29,-0.01,1.09
2002,139,1000,-99.99,1.98,5.33,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,77,7.69,0.28,-0.01,0.79
2002,139,1030,-99.99,3.09,10.7,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,78,7.89,0.31,0,1.23
2002,139,1100,-99.99,4.2,16.07,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,79,8.09,0.34,0,1.67
2002,139,1130,-99.99,3.74,14.4,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,78,8.18,0.34,0,1.49
2002,139,1200,-99.99,4.14,16.55,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,79,8.39,0.35,0.01,1.65
2002,139,1230,-99.99,4.22,17.52,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,80,8.41,0.34,0.01,1.68
2002,139,1300,-99.99,4.41,19.61,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,83,8.54,0.36,0.01,1.76
2002,139,1330,-99.99,4.32,18.93,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,83.5,8.57,0.36,0,1.72
2002,139,1400,-99.99,4.23,18.24,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,84,8.6,0.36,0,1.69
2002,139,1430,-99.99,4.04,18.28,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,83,8.66,0.35,0,1.61
2002,139,1500,-99.99,4.65,29.51,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,82,9.38,0.42,0,1.85
2002,139,1530,-99.99,4.49,27.18,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,83,8.96,0.4,0.01,1.79
2002,139,1600,-99.99,3.42,16.54,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,84,8.85,0.36,0,1.36
2002,139,1630,-99.99,3.56,18.44,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,84,8.52,0.38,0,1.42
2002,139,1700,-99.99,2.74,14.04,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,86,8.46,0.36,0,1.09
2002,139,1730,-99.99,2.64,13.18,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,86,8.56,0.36,0,1.05
2002,139,1800,-99.99,2.73,12.7,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,85,8.41,0.37,0,1.09
2002,139,1830,-99.99,2.23,9.95,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,86,8.68,0.37,-0.01,0.89
2002,139,1900,-99.99,2.25,11.07,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,89,8.59,0.38,-0.01,0.9
2002,139,1930,-99.99,1.55,3.88,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,89,9.26,0.38,-0.01,0.62
2002,139,2000,-99.99,1.6,5.41,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,90,9.34,0.4,0,0.64
2002,139,2030,-99.99,1.27,3.48,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,89,9.79,0.42,-0.01,0.51
2002,139,2100,-99.99,-0.42,-3.4,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,89,9.39,0.4,-0.01,-0.17
