SUMLEV,STATE,COUNTY,STNAME,CTYNAME,YEAR,AGEGRP,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
050,49,001,Utah,Beaver County,2000c,0,6005,3090,2915,2977,2824,14,2,32,31,19,22,6,0,42,36,3017,2856,19,4,62,53,27,32,10,9,2804,2691,14,2,26,27,15,20,6,0,35,32,2838,2719,16,4,51,46,22,29,10,9,173,133,0,0,6,4,4,2,0,0,7,4,179,137,3,0,11,7,5,3,0,0
050,49,001,Utah,Beaver County,2000a,0,6005,3090,2915,2977,2824,14,2,32,31,19,22,6,0,42,36,3017,2856,19,4,62,53,27,32,10,9,2804,2691,14,2,26,27,15,20,6,0,35,32,2838,2719,16,4,51,46,22,29,10,9,173,133,0,0,6,4,4,2,0,0,7,4,179,137,3,0,11,7,5,3,0,0
050,49,001,Utah,Beaver County,2000,0,6018,3094,2924,3008,2853,15,2,33,29,24,24,0,0,14,16,3022,2869,15,2,47,42,24,26,0,1,2833,2718,14,2,27,25,22,23,0,0,13,15,2846,2733,14,2,40,37,22,25,0,1,175,135,1,0,6,4,2,1,0,0,1,1,176,136,1,0,7,5,2,1,0,0
050,49,001,Utah,Beaver County,2001,0,6024,3099,2925,3008,2847,15,2,34,33,26,24,0,0,16,19,3023,2866,15,2,49,48,27,27,1,1,2811,2693,13,2,28,29,23,23,0,0,13,16,2824,2709,13,2,41,41,23,26,0,1,197,154,2,0,6,4,3,1,0,0,3,3,199,157,2,0,8,7,4,1,1,0
050,49,001,Utah,Beaver County,2002,0,6100,3142,2958,3048,2883,15,2,36,31,27,26,0,0,16,16,3064,2899,15,2,52,43,27,29,0,1,2816,2695,13,2,29,28,25,25,0,0,12,14,2828,2709,13,2,41,38,25,28,0,1,232,188,2,0,7,3,2,1,0,0,4,2,236,190,2,0,11,5,2,1,0,0
050,49,001,Utah,Beaver County,2003,0,6075,3131,2944,3039,2860,15,3,37,32,28,32,0,0,12,17,3051,2877,15,3,48,45,29,35,0,1,2797,2668,13,3,29,28,26,30,0,0,8,15,2805,2683,13,3,36,39,27,33,0,1,242,192,2,0,8,4,2,2,0,0,4,2,246,194,2,0,12,6,2,2,0,0
050,49,001,Utah,Beaver County,2004,0,6077,3130,2947,3030,2855,15,3,40,33,30,35,0,1,15,20,3045,2874,15,3,55,48,30,40,0,4,2786,2671,13,3,30,30,28,33,0,1,11,16,2797,2687,13,3,41,42,28,36,0,2,244,184,2,0,10,3,2,2,0,0,4,4,248,187,2,0,14,6,2,4,0,2
050,49,001,Utah,Beaver County,2000c,1,558,298,260,288,248,0,0,1,3,3,3,0,0,6,6,294,254,0,0,3,5,7,6,0,1,269,229,0,0,1,3,2,3,0,0,5,5,274,234,0,0,3,4,5,6,0,1,19,19,0,0,0,0,1,0,0,0,1,1,20,20,0,0,0,1,2,0,0,0
050,49,001,Utah,Beaver County,2000a,1,558,298,260,288,248,0,0,1,3,3,3,0,0,6,6,294,254,0,0,3,5,7,6,0,1,269,229,0,0,1,3,2,3,0,0,5,5,274,234,0,0,3,4,5,6,0,1,19,19,0,0,0,0,1,0,0,0,1,1,20,20,0,0,0,1,2,0,0,0
050,49,001,Utah,Beaver County,2000,1,567,301,266,295,254,0,0,1,3,3,3,0,0,2,6,297,260,0,0,3,6,3,5,0,1,275,235,0,0,1,3,3,3,0,0,2,6,277,241,0,0,3,6,3,5,0,1,20,19,0,0,0,0,0,0,0,0,0,0,20,19,0,0,0,0,0,0,0,0
